timestamp;date;hour;requests;dominant_event;rare_events_count;rare_events_ratio_pct;anomaly_score;is_unusual_access;risk_level;reason
2019-01-01 00:00:00;2019-01-01;0;8423;DescribeSnapshots;1;0.01;0.1836;False;baixo;acesso_fora_do_horario|evento_raro
2019-02-01 00:00:00;2019-02-01;0;4139;DescribeSnapshots;0;0.0;0.2273;False;baixo;acesso_fora_do_horario
2019-03-01 00:00:00;2019-03-01;0;8958;DescribeSnapshots;1;0.01;0.1811;False;baixo;acesso_fora_do_horario|evento_raro
2019-04-01 00:00:00;2019-04-01;0;10244;DescribeSnapshots;5;0.05;0.0823;False;baixo;acesso_fora_do_horario|evento_raro
2019-05-01 00:00:00;2019-05-01;0;10736;DescribeSnapshots;3;0.03;0.1263;True;baixo;acesso_fora_do_horario|evento_raro
2019-06-01 00:00:00;2019-06-01;0;21326;DescribeSnapshotAttribute;2;0.01;0.0988;True;baixo;acesso_fora_do_horario|evento_raro
2019-07-01 00:00:00;2019-07-01;0;21969;DescribeSnapshots;5;0.02;0.0262;True;baixo;acesso_fora_do_horario|evento_raro
2019-08-01 00:00:00;2019-08-01;0;710859;RunInstances;3;0.0;3.3178;True;médio;acesso_fora_do_horario|evento_raro|score_anomalia_alto|pico_de_requisicoes
2019-09-01 00:00:00;2019-09-01;0;17824;RunInstances;2;0.01;0.1155;True;baixo;acesso_fora_do_horario|evento_raro
2019-10-01 00:00:00;2019-10-01;0;10665;DescribeSnapshots;1;0.01;0.173;False;baixo;acesso_fora_do_horario|evento_raro
2019-11-01 00:00:00;2019-11-01;0;11756;DescribeSnapshots;11;0.09;0.212;True;baixo;acesso_fora_do_horario|evento_raro
2019-12-01 00:00:00;2019-12-01;0;5206;DescribeSnapshots;1;0.02;0.199;False;baixo;acesso_fora_do_horario|evento_raro
2020-01-01 00:00:00;2020-01-01;0;15289;DescribeSnapshots;4;0.03;0.0814;True;baixo;acesso_fora_do_horario|evento_raro
2020-02-01 00:00:00;2020-02-01;0;11980;DescribeSnapshots;4;0.03;0.0972;True;baixo;acesso_fora_do_horario|evento_raro
2020-03-01 00:00:00;2020-03-01;0;21551;DescribeSnapshots;0;0.0;0.144;True;baixo;acesso_fora_do_horario
2020-04-01 00:00:00;2020-04-01;0;15287;DescribeSnapshots;1;0.01;0.1508;True;baixo;acesso_fora_do_horario|evento_raro
2020-05-01 00:00:00;2020-05-01;0;14403;DescribeSnapshots;2;0.01;0.1319;True;baixo;acesso_fora_do_horario|evento_raro
2020-06-01 00:00:00;2020-06-01;0;23259;DescribeSnapshots;146;0.63;3.2823;True;médio;acesso_fora_do_horario|evento_raro|score_anomalia_alto
2020-07-01 00:00:00;2020-07-01;0;19485;DescribeSnapshots;0;0.0;0.1539;True;baixo;acesso_fora_do_horario
2020-08-01 00:00:00;2020-08-01;0;11547;DescribeSnapshots;1;0.01;0.1687;True;baixo;acesso_fora_do_horario|evento_raro
2020-09-01 00:00:00;2020-09-01;0;23936;DescribeSnapshots;2;0.01;0.0863;True;baixo;acesso_fora_do_horario|evento_raro
2020-10-01 00:00:00;2020-10-01;0;29428;GetBucketAcl;2;0.01;0.0809;True;baixo;acesso_fora_do_horario|evento_raro
